epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.692,0.64683,4.21289,1.14564,0.03774,0.79867,0.18544,0.17241,0.43419,4.41069,1.02226,0.000109819,0.000109819,0.000109819
2,933.972,0.61145,3.4095,1.09418,0.35759,0.28902,0.31786,0.2596,0.64199,4.03894,1.19243,0.000216447,0.000216447,0.000216447
3,1378.63,0.60445,2.95411,1.07947,0.36346,0.60662,0.50203,0.43886,0.51747,3.13263,1.07501,0.000318679,0.000318679,0.000318679
4,1824.51,0.57508,2.62245,1.04846,0.49806,0.74154,0.6768,0.59121,0.55947,2.82568,1.06305,0.00031322,0.00031322,0.00031322
5,2262.66,0.58659,2.38031,1.0484,0.64692,0.62913,0.71238,0.64627,0.47858,2.42756,1.00643,0.000306626,0.000306626,0.000306626
6,2700.98,0.53519,2.20195,1.02485,0.70236,0.62407,0.74088,0.68558,0.51989,2.26521,1.03418,0.000300033,0.000300033,0.000300033
7,3138.33,0.53968,2.0315,1.01005,0.65938,0.78447,0.82882,0.74534,0.49718,2.13548,1.02102,0.00029344,0.00029344,0.00029344
8,3577.37,0.51576,1.84201,0.99781,0.74139,0.74097,0.8682,0.79495,0.47999,1.81728,1.00866,0.000286846,0.000286846,0.000286846
9,4132.11,0.51465,1.75946,1.00421,0.75203,0.82889,0.89132,0.81802,0.4579,1.63316,0.97389,0.000280253,0.000280253,0.000280253
10,4576.57,0.48824,1.66805,0.98677,0.75533,0.81164,0.87889,0.81686,0.42956,1.58729,0.95667,0.000273659,0.000273659,0.000273659
11,5028.14,0.48932,1.57551,0.98462,0.8117,0.79515,0.928,0.84899,0.44106,1.64029,0.97109,0.000267066,0.000267066,0.000267066
12,5476.54,0.4885,1.48643,0.98461,0.79415,0.79067,0.90658,0.83532,0.45326,1.65677,0.97859,0.000260473,0.000260473,0.000260473
13,5924.93,0.47101,1.43041,0.97707,0.8164,0.83757,0.89865,0.81865,0.43233,1.44942,0.96688,0.000253879,0.000253879,0.000253879
14,6360.34,0.46701,1.38629,0.9685,0.86067,0.8239,0.91324,0.82964,0.4877,1.3213,1.01304,0.000247286,0.000247286,0.000247286
15,6796.83,0.45731,1.34778,0.974,0.72333,0.92329,0.92378,0.85274,0.46299,1.36504,0.99821,0.000240692,0.000240692,0.000240692
16,7235.05,0.45041,1.28755,0.96829,0.874,0.84537,0.92646,0.85263,0.4777,1.19781,1.00856,0.000234099,0.000234099,0.000234099
17,7671.25,0.42838,1.20736,0.94976,0.87583,0.84575,0.93069,0.85324,0.4402,1.15827,0.98123,0.000227506,0.000227506,0.000227506
18,8114.99,0.42426,1.19407,0.94352,0.83741,0.87015,0.92298,0.85432,0.39413,1.21227,0.94057,0.000220912,0.000220912,0.000220912
19,8559.22,0.42861,1.20357,0.95987,0.88953,0.87108,0.9386,0.86456,0.41207,1.17446,0.9458,0.000214319,0.000214319,0.000214319
20,9001.25,0.42557,1.14715,0.95046,0.82914,0.82332,0.90112,0.83133,0.43925,1.137,0.96341,0.000207725,0.000207725,0.000207725
21,9439.98,0.42002,1.12029,0.95128,0.86817,0.8779,0.94345,0.88061,0.44162,1.22883,0.97312,0.000201132,0.000201132,0.000201132
22,9877.13,0.40948,1.05756,0.93988,0.90262,0.87517,0.951,0.8845,0.40185,1.03331,0.92958,0.000194539,0.000194539,0.000194539
23,10336.8,0.40603,1.05473,0.94231,0.80078,0.84796,0.91643,0.84765,0.44619,1.15955,0.9872,0.000187945,0.000187945,0.000187945
24,10786.2,0.3966,0.9846,0.9364,0.89019,0.87322,0.94901,0.87917,0.43007,1.00267,0.96834,0.000181352,0.000181352,0.000181352
